Name,Medium,Type,Secondary Type,Tertiary Type,Product Name,Username,Manufacturer,Model,Developer,Author,Editor,Publisher,Language,Year,Original Price,Identifying Number,Floppy Drive,Optical Drive,Hard Disk Drive,RAM,CPU,External Connections,Internal Connections,Operating System,Compatibility,Accession Number,Date Tested,Donor,notes,Author,Theme,image,360_image
Apple II - The Magic Window: Word Processing System (User’s Manual),Printed Matter,Manual,User,"Apple Computer, Inc.",Apple II - The Magic Window: Word Processing System (User’s Manual),,,,,Gary Shannon and Bill Depew,,Artsci,English,1980,,,,,,,,,,,,2013.10.97,,Brad Feld,Blue binder containing pages.,,,,
Macintosh - Habadex for Macintosh,Printed Matter,Manual,User,"Apple Computer, Inc.",Macintosh - Habadex for Macintosh,,,,,Haba Systems,,Haba Systems,English,1984,,,,,,,,,,,,2013.10.98,,Brad Feld,Photocopied pages in legal folder.,,,,
IBM PC Compatible - MG-200 - Monographics Card - User’s Manual,Printed Matter,Manual,User,IBM,IBM PC Compatible - MG-200 - Monographics Card - User’s Manual,,,,,Dell Computer Corporation,,Dell Computer Corporation,English,,,,,,,,,,,,,2013.10.99,,Brad Feld,With 1 Parallel Port included.,,,,
Nightcrawlers on the Web,Printed Matter,Book,Art and Design,Poetry,Nightcrawlers on the Web,,,,,Johanna Drucker,,JABBOOKS,English,2000,, 1-8871-2342-3,,,,,,,,,,2013.11.1,,Matthew Kirschenbaum,PDF Online @ http://mediaarchaeologylab.com/wp-content/uploads/2013/09/Night-Crawlers-Reduced.pdf,,,,
Apple II - The DOS Manual: Disk Operating System,Printed Matter,Manual,User,"Apple Computer, Inc.",Apple II - The DOS Manual: Disk Operating System,,,,,"Apple Computer, Inc.",,"Apple Computer, Inc.",English,1980,,030-0115-00,,,,,,,,,,2013.12.1,,Brad Feld,,,,,
Apple II - Communications Interface Card (A2B0003X) - Installation and Operating Manual,Printed Matter,Manual,Introductory,"Apple Computer, Inc.",Apple II - Communications Interface Card (A2B0003X) - Installation and Operating Manual,,,,,Apple Computer,,Apple Computer,English,1978,,030-0008-01,,,,,,,,,,2013.12.10,,Brad Feld,,,,,
WordPerfect Communications with Expressfax - Reference Guide,Printed Matter,Manual,User,Software,WordPerfect Communications with Expressfax - Reference Guide,,,,,,,,,,,,,,,,,,,,,2013.12.108,,,,,,,
Using 6502 Assembly Language: How Anyone Can Program the Apple II,Printed Matter,Book,Reference,Assembly,Using 6502 Assembly Language: How Anyone Can Program the Apple II,,,,,Randy Hyde,,DATAMOST,English,1981,,,,,,,,,,,,2013.12.11,,Brad Feld,,,,,
“Ask me about INTERnet”,Printed Matter,Ephemera,Advertising,Pin,,,,,,,,,English,,,,,,,,,,,,,2013.12.114,,Kenneth Kuhn,,,,,
“I heart Nonstop”,Printed Matter,Ephemera,Advertising,Pin,,,,,,,,,English,,,,,,,,,,,,,2013.12.115,,,No Donor Listed,,,,
